Word,version,correct,cee,Consistency,Frequency
choose,7,100,0.008577042,EX,H
class,7,100,0.001905988,RC,H
come,7,100,0.002304805,EX,H
dark,7,100,0.001295056,RC,H
deaf,7,100,0.005739457,EX,L
deed,7,100,0.00124185,RC,L
did,7,100,0.001162759,RC,H
do,7,100,0.001169962,EX,H
does,7,100,0.001715418,EX,H
doll,7,100,0.005570721,EX,L
done,7,100,0.001384317,EX,H
dots,7,100,0.003970139,RC,L
fact,7,100,0.001443424,RC,H
fade,7,100,0.001199932,RC,L
float,7,100,0.001308972,RC,L
flood,7,100,0.001546307,EX,L
foot,7,100,0.004160187,EX,H
give,7,100,0.001454342,EX,H
got,7,100,0.001126173,RC,H
grape,7,100,0.002196861,RC,L
great,7,100,0.002141959,EX,H
gross,7,100,0.002080883,EX,L
group,7,100,0.00175959,RC,H
have,7,100,0.001328799,EX,H
him,7,100,0.001044488,RC,H
lose,7,100,0.007717077,EX,L
lunch,7,100,0.001256943,RC,L
main,7,100,0.001007776,RC,H
move,7,100,0.002775297,EX,H
out,7,100,0.001118453,RC,H
page,7,100,0.001281647,RC,H
pear,7,100,0.005041965,EX,L
peel,7,100,0.001117006,RC,L
phase,7,100,0.001175123,EX,L
pint,7,100,0.001480121,EX,L
pitch,7,100,0.001103039,RC,L
place,7,100,0.001328722,RC,H
plow,7,100,0.001118514,EX,L
pull,7,100,0.001283314,EX,H
pump,7,100,0.001273311,RC,L
put,7,100,0.00123793,EX,H
ripe,7,100,0.001155602,RC,L
rouse,7,100,0.003174984,EX,L
said,7,100,0.001227129,EX,H
sank,7,100,0.001251064,RC,L
says,7,0,1.576637,EX,H
see,7,100,0.000898613,RC,H
sew,7,100,0.001489465,EX,L
shall,7,100,0.001796581,EX,H
shoe,7,100,0.001178582,EX,L
slam,7,100,0.001196694,RC,L
slip,7,100,0.00119055,RC,L
soon,7,100,0.001071992,RC,H
spook,7,100,0.001338764,EX,L
stop,7,100,0.00133335,RC,H
stunt,7,100,0.001522254,RC,L
swamp,7,100,0.00185803,EX,L
swarm,7,100,0.00149005,EX,L
swore,7,100,0.001392623,RC,L
tell,7,100,0.001375221,RC,H
touch,7,100,0.002600531,EX,L
trunk,7,100,0.001465223,RC,L
wad,7,100,0.005636585,EX,L
wake,7,100,0.001070576,RC,L
wand,7,100,0.001295724,EX,L
want,7,100,0.001444508,EX,H
wash,7,100,0.003265542,EX,L
watch,7,100,0.001351608,EX,H
wax,7,100,0.001565944,RC,L
week,7,100,0.001157204,RC,H
weld,7,100,0.001310562,RC,L
were,7,100,0.001167293,EX,H
what,7,100,0.001603984,EX,H
when,7,100,0.001460021,RC,H
which,7,100,0.001980203,RC,H
will,7,100,0.001060923,RC,H
wing,7,100,0.001404288,RC,L
wit,7,100,0.001078265,RC,L
with,7,100,0.001337123,RC,H
wool,7,100,0.001750614,EX,L
word,7,100,0.001411219,EX,H
work,7,100,0.001416764,EX,H
worm,7,100,0.001258809,EX,L
write,7,100,0.001031385,RC,H
are,8,100,0.002194284,EX,H
beam,8,100,0.001477058,RC,L
best,8,100,0.001466685,RC,H
big,8,100,0.00124889,RC,H
both,8,100,0.002222138,EX,H
bowl,8,100,0.01408481,EX,L
break,8,100,0.008498645,EX,H
broad,8,100,0.004713867,EX,L
broke,8,100,0.001479364,RC,L
bus,8,100,0.00126926,RC,L
bush,8,100,0.002482806,EX,L
came,8,100,0.001507161,RC,H
choose,8,100,0.002286034,EX,H
class,8,100,0.001507798,RC,H
come,8,100,0.001712223,EX,H
dark,8,100,0.001641796,RC,H
deaf,8,100,0.2291104,EX,L
deed,8,100,0.001299995,RC,L
did,8,100,0.001317309,RC,H
do,8,100,0.00224576,EX,H
does,8,100,0.001738964,EX,H
doll,8,100,0.1205863,EX,L
done,8,100,0.001571567,EX,H
dots,8,100,0.003475451,RC,L
fact,8,100,0.001385439,RC,H
fade,8,100,0.001267984,RC,L
float,8,100,0.001441759,RC,L
flood,8,100,0.002385978,EX,L
foot,8,100,0.04086119,EX,H
give,8,100,0.00166743,EX,H
got,8,100,0.003959779,RC,H
grape,8,100,0.001451557,RC,L
great,8,100,0.001389127,EX,H
gross,8,100,0.002129217,EX,L
group,8,100,0.001805736,RC,H
have,8,100,0.001528473,EX,H
him,8,100,0.001601462,RC,H
lose,8,100,0.001949071,EX,L
lunch,8,100,0.001390031,RC,L
main,8,100,0.001269722,RC,H
move,8,100,0.001744055,EX,H
out,8,100,0.001391856,RC,H
page,8,100,0.00148776,RC,H
pear,8,100,0.001910888,EX,L
peel,8,100,0.001741119,RC,L
phase,8,100,0.0103628,EX,L
pint,8,100,0.001951242,EX,L
pitch,8,100,0.00481416,RC,L
place,8,100,0.001469868,RC,H
plow,8,100,0.001897197,EX,L
pull,8,100,0.002463875,EX,H
pump,8,100,0.002582528,RC,L
put,8,100,0.002011461,EX,H
ripe,8,100,0.001407421,RC,L
rouse,8,100,0.2577434,EX,L
said,8,100,0.001468822,EX,H
sank,8,100,0.001447271,RC,L
says,8,100,0.001423395,EX,H
see,8,100,0.001024488,RC,H
sew,8,100,0.001207323,EX,L
shall,8,100,0.00174042,EX,H
shoe,8,100,0.01587334,EX,L
slam,8,100,0.001367597,RC,L
slip,8,100,0.001371474,RC,L
soon,8,100,0.001178199,RC,H
spook,8,100,0.00206957,EX,L
stop,8,100,0.001308151,RC,H
stunt,8,100,0.001488334,RC,L
swamp,8,100,0.001621466,EX,L
swarm,8,100,0.001788046,EX,L
swore,8,100,0.001822394,RC,L
tell,8,100,0.001068452,RC,H
touch,8,100,0.002113329,EX,L
trunk,8,100,0.00182844,RC,L
wad,8,100,0.001493058,EX,L
wake,8,100,0.001640289,RC,L
wand,8,100,0.001635122,EX,L
want,8,100,0.001778071,EX,H
wash,8,100,0.002183101,EX,L
watch,8,100,0.001738194,EX,H
wax,8,100,0.002204275,RC,L
week,8,100,0.002484495,RC,H
weld,8,100,0.00142607,RC,L
were,8,100,0.002080738,EX,H
what,8,100,0.002362947,EX,H
when,8,100,0.00197896,RC,H
which,8,100,0.001769624,RC,H
will,8,100,0.001280552,RC,H
wing,8,100,0.001393172,RC,L
wit,8,100,0.001258746,RC,L
with,8,100,0.001667289,RC,H
wool,8,100,0.01257732,EX,L
word,8,100,0.004904713,EX,H
work,8,100,0.002537855,EX,H
worm,8,100,0.006467993,EX,L
write,8,100,0.00113236,RC,H
are,9,100,0.001461486,EX,H
beam,9,100,0.001106226,RC,L
best,9,100,0.001146395,RC,H
big,9,100,0.001039211,RC,H
both,9,100,0.001207988,EX,H
bowl,9,100,0.001324711,EX,L
break,9,100,0.001383234,EX,H
broad,9,100,0.001204537,EX,L
broke,9,100,0.001230215,RC,L
bus,9,100,0.001108854,RC,L
bush,9,100,0.001506198,EX,L
came,9,100,0.001248247,RC,H
choose,9,100,0.01359727,EX,H
class,9,100,0.001540455,RC,H
come,9,100,0.001999928,EX,H
dark,9,100,0.001460016,RC,H
deaf,9,100,0.001074895,EX,L
deed,9,100,0.001182792,RC,L
