nonword,version,correct,cee
grool,12,100,0.0023
hean,12,100,0.0055
heef,12,100,0.0317
hode,12,100,0.0948
hoil,12,100,0.0057
lail,12,100,0.0014
lole,12,100,0.1382
meak,12,100,0.0011
moop,12,100,0.0023
mune,12,100,0.6223
nust,12,100,0.0138
peet,12,100,0.0012
pilt,12,100,0.0013
plore,12,100,0.0227
pode,12,100,0.0049
pold,12,100,0.0025
prain,12,100,0.0012
sheed,12,100,0.0019
soad,12,100,0.0012
speet,12,100,0.0012
steet,12,100,0.0012
suff,12,100,0.0033
sust,12,100,0.0107
sweal,12,100,3.5483
taze,12,100,0.0013
weat,12,100,0.0191
wosh,12,100,5.1228
wote,12,100,0.0012
wuff,12,100,0.0051
beed,13,100,0.0013
beld,13,100,0.0016
bink,13,100,0.0188
bleam,13,100,0.0025
bort,13,100,0.0138
brobe,13,100,0.0039
cath,13,0,7.091
cobe,13,100,0.0015
dold,13,100,0.0029
doon,13,100,0.0014
dore,13,100,0.0132
dreed,13,100,0.003
feal,13,100,0.0012
gode,13,100,0.0032
grool,13,100,0.002
hean,13,100,0.0841
heef,13,100,0.0958
hode,13,100,0.0032
hoil,13,0,3.7412
lail,13,100,0.0024
lole,13,100,0.0014
meak,13,100,0.0446
moop,13,100,0.0514
mune,13,100,3.4431
nust,13,100,0.0158
peet,13,100,0.0012
pilt,13,100,0.0027
plore,13,100,0.0105
pode,13,100,0.1933
pold,13,100,0.0018
prain,13,100,0.0013
sheed,13,100,0.0017
soad,13,100,2.0473
speet,13,100,0.0015
steet,13,100,0.0014
suff,13,100,0.0013
sust,13,100,0.0052
sweal,13,100,0.008
taze,13,100,0.0044
weat,13,100,0.0087
wosh,13,100,3.4549
wote,13,100,0.0013
wuff,13,100,0.0093
beed,14,100,0.001
beld,14,100,0.0019
bink,14,100,0.0012
bleam,14,100,0.0011
bort,14,100,0.0027
brobe,14,100,0.0012
cath,14,100,0.0338
cobe,14,100,0.0122
dold,14,100,0.0012
doon,14,100,0.001
dore,14,100,0.001
dreed,14,100,0.0011
feal,14,100,0.0013
gode,14,100,0.0811
grool,14,100,0.0011
hean,14,100,0.001
heef,14,100,0.3695
hode,14,100,0.001
hoil,14,100,0.0011
lail,14,100,0.0009
lole,14,100,0.0834
meak,14,100,0.001
moop,14,100,0.001
mune,14,100,0.0025
nust,14,100,0.0014
peet,14,100,0.0009
pilt,14,100,0.0068
plore,14,100,0.0013
pode,14,100,0.0011
pold,14,100,0.0068
prain,14,100,0.0011
sheed,14,100,0.0015
soad,14,100,0.0011
speet,14,100,0.0021
steet,14,100,0.001
suff,14,100,0.001
sust,14,0,0.4911
sweal,14,100,5.1886
taze,14,100,0.0013
weat,14,100,0.002
wosh,14,0,11.793
wote,14,100,0.0011
wuff,14,100,0.002
beed,15,100,0.0011
beld,15,100,0.0017
bink,15,100,0.0015
bleam,15,100,0.0016
bort,15,100,0.0013
brobe,15,100,0.0014
cath,15,0,7.9853
cobe,15,100,0.3354
dold,15,0,2.5276
doon,15,100,0.0016
dore,15,100,0.0045
dreed,15,100,0.0046
feal,15,100,0.0274
gode,15,100,0.0011
grool,15,100,0.0023
hean,15,100,0.4246
heef,15,100,0.2865
hode,15,100,0.002
hoil,15,100,0.9834
lail,15,0,2.8789
lole,15,100,0.0112
meak,15,100,0.0011
moop,15,100,0.0017
mune,15,100,0.0028
nust,15,100,0.0021
peet,15,100,0.0013
pilt,15,100,0.0039
plore,15,100,0.0013
pode,15,100,0.0392
pold,15,100,0.0491
prain,15,100,0.0013
sheed,15,0,12.5806
soad,15,100,0.0014
speet,15,100,0.0077
steet,15,100,0.0056
suff,15,100,0.0015
sust,15,100,0.0113
sweal,15,0,0.5677
taze,15,100,0.0027
weat,15,100,0.0013
wosh,15,0,11.5184
wote,15,100,0.0021
wuff,15,100,0.0114
beed,16,100,0.0012
beld,16,100,0.0201
bink,16,100,0.0016
bleam,16,100,0.0193
bort,16,100,0.0014
brobe,16,100,0.0021
cath,16,0,7.8862
cobe,16,100,0.0528
dold,16,100,0.003
doon,16,100,0.038
dore,16,100,0.0012
dreed,16,100,0.0015
feal,16,100,0.0176
gode,16,100,0.002
grool,16,100,0.0053
hean,16,100,0.0118
heef,16,0,1.7748
hode,16,100,0.0015
hoil,16,100,4.0944
lail,16,100,0.0031
lole,16,100,0.0078
meak,16,100,0.0014
moop,16,100,0.0066
mune,16,100,0.1427
nust,16,100,0.1655
peet,16,100,0.0012
pilt,16,100,0.0049
plore,16,100,0.0014
pode,16,100,0.0296
pold,16,100,0.0024
prain,16,100,0.0013
sheed,16,100,0.0281
soad,16,100,0.0034
speet,16,100,0.0013
steet,16,100,0.0014
suff,16,100,0.0012
sust,16,100,0.0051
sweal,16,100,0.0015
taze,16,100,0.0013
weat,16,100,0.0014
wosh,16,100,0.0433
wote,16,100,0.0013
wuff,16,0,11.1242
beed,17,100,0.0009
beld,17,100,0.0147
bink,17,100,0.0019
bleam,17,100,0.0012
bort,17,100,0.0075
brobe,17,100,0.0022
cath,17,100,0.0293
cobe,17,100,0.0519
dold,17,100,0.1865
doon,17,100,0.0011
dore,17,100,0.0011
dreed,17,100,7.4318
feal,17,100,0.009
gode,17,100,0.0194
grool,17,100,0.0419
hean,17,100,0.0135
heef,17,100,0.1243
hode,17,100,0.004
hoil,17,100,0.1191
lail,17,100,0.0087
lole,17,100,0.0043
meak,17,100,0.0011
moop,17,100,0.0011
mune,17,100,0.5136
nust,17,100,0.0108
peet,17,100,0.001
pilt,17,100,0.017
plore,17,100,0.0012
pode,17,100,0.0014
pold,17,100,0.0012
prain,17,100,0.0012
sheed,17,100,0.001
soad,17,100,0.0058
speet,17,100,0.0011
steet,17,100,0.0011
suff,17,100,0.0012
sust,17,100,0.0799
sweal,17,0,10.2895
taze,17,0,11.4593
weat,17,100,8.5329
wosh,17,0,6.0699
wote,17,100,0.0052
wuff,17,100,0.0016
beed,18,0,3.4334
beld,18,100,0.0013
bink,18,100,0.0011
bleam,18,100,0.0144
bort,18,100,0.0011
brobe,18,100,0.0012
cath,18,100,0.0017
cobe,18,100,0.0014
dold,18,100,0.007
doon,18,100,0.0014
dore,18,100,0.001
dreed,18,100,0.0014
feal,18,100,0.0009
gode,18,0,11.4601
grool,18,100,0.0016
hean,18,100,0.0035
heef,18,100,0.0088
hode,18,100,0.0017
hoil,18,100,2.4378
lail,18,100,0.0011
lole,18,100,0.0017
meak,18,100,0.001
moop,18,100,0.001
mune,18,100,0.1924
nust,18,100,0.0014
peet,18,100,0.001
pilt,18,100,0.0014
plore,18,100,0.0014
pode,18,100,0.0011
pold,18,100,0.0012
prain,18,100,0.0011
sheed,18,100,0.001
soad,18,100,0.0012
speet,18,100,0.0011
steet,18,100,0.0016
suff,18,100,0.0584
sust,18,100,0.0013
sweal,18,100,0.0012
taze,18,100,0.0051
weat,18,100,0.8559
wosh,18,100,4.6759
wote,18,100,0.0039
wuff,18,100,0.0035
beed,19,100,0.0011
beld,19,100,0.043
bink,19,100,0.0012
bleam,19,100,0.0012
bort,19,100,0.0012
brobe,19,100,0.0028
cath,19,0,9.6607
cobe,19,100,0.0039
dold,19,100,0.0045
doon,19,100,0.0012
dore,19,100,0.0011
dreed,19,100,0.0018
feal,19,100,0.001
gode,19,100,0.0059
grool,19,100,0.006
hean,19,100,0.001
heef,19,100,0.0682
hode,19,100,0.0012
hoil,19,100,0.0015
lail,19,100,0.0011
lole,19,100,8.1029
meak,19,100,0.001
moop,19,100,0.0031
mune,19,100,0.0026
nust,19,100,0.0024
peet,19,100,0.0011
pilt,19,100,0.0053
plore,19,100,0.0215
pode,19,100,0.0011
pold,19,100,0.0012
prain,19,100,0.0129
sheed,19,100,0.001
soad,19,0,6.2571
speet,19,100,0.0013
steet,19,100,0.0016
suff,19,100,0.001
sust,19,100,0.3096
sweal,19,0,28.6765
taze,19,100,0.0036
weat,19,0,5.3046
wosh,19,100,0.01
wote,19,100,6.0883
wuff,19,100,0.0072
beed,20,100,0.0014
beld,20,100,0.0022
bink,20,100,0.0374
bleam,20,0,2.4298
bort,20,100,0.0014
brobe,20,100,0.003
cath,20,0,5.5587
cobe,20,100,0.0016
dold,20,100,0.0028
doon,20,100,0.0016
dore,20,100,0.0011
dreed,20,100,0.0032
feal,20,100,0.0033
gode,20,0,5.637
grool,20,100,0.0201
hean,20,100,0.1889
heef,20,100,0.0049
hode,20,100,0.0022
hoil,20,100,0.5298
lail,20,100,0.0015
lole,20,100,0.0094
meak,20,100,0.0016
moop,20,100,0.076
mune,20,100,0.1914
nust,20,100,0.0293
peet,20,100,0.0015
pilt,20,100,0.0018
plore,20,100,0.0072
pode,20,100,0.0015
pold,20,100,0.0062
prain,20,100,0.0061
sheed,20,100,0.0013
soad,20,100,0.003
speet,20,100,0.0016
steet,20,100,0.0022
suff,20,100,0.0442
sust,20,100,0.0023
sweal,20,100,0.0353
taze,20,100,0.003
weat,20,100,3.6768
wosh,20,100,0.1523
wote,20,100,0.0118
wuff,20,100,0.0916
