item	word	wl	OrthN	phonetic
1008	graph	5	8	gr@f
1009	grasp	5	8	gr@sp
1010	grass	5	13	gr@s
1011	grate	5	13	grAt
1012	grave	5	15	grAv
1013	gray	4	14	grA
1014	grays	5	8	grAz
1015	graze	5	14	grAz
1016	grease	6	8	grEs
1017	great	5	10	grAt
1018	greed	5	12	grEd
1019	green	5	9	grEn
1020	greet	5	10	grEt
1021	grew	4	14	grU
1022	grey	4	12	grA
1023	grid	4	14	grid
1024	grief	5	8	grEf
1025	grill	5	10	gril
1026	grille	6	7	gril
1027	grim	4	15	grim
1028	grime	5	10	grIm
1029	grin	4	12	grin
1030	grind	5	8	grInd
1031	grip	4	13	grip
1032	gripe	5	11	grIp
1033	grist	5	8	grist
1034	grit	4	13	grit
1035	groan	5	10	grOn
1036	groat	5	11	grOt
1037	groin	5	10	grYn
1038	groom	5	9	grUm
1039	groove	6	7	grUv
1040	grope	5	10	grOp
1041	gross	5	11	grOs
1042	grouch	6	8	grWC
1043	ground	6	7	grWnd
1044	group	5	9	grUp
1045	grouse	6	7	grWs
1046	grout	5	10	grWt
1047	grove	5	12	grOv
1048	grow	4	12	grO
1049	growl	5	9	grWl
1050	grown	5	14	grOn
1051	growth	6	7	grOT
1052	grub	4	8	gr^b
1053	grudge	6	7	gr^j
1054	gruff	5	7	gr^f
1055	grunt	5	10	gr^nt
1056	guard	5	7	gard
1057	guess	5	8	ges
1058	guest	5	9	gest
1059	guide	5	10	gId
1060	guild	5	10	gild
1061	guile	5	11	gIl
1062	guilt	5	11	gilt
1063	guise	5	9	gIz
1064	gulf	4	10	g^lf
1065	gull	4	19	g^l
1066	gulp	4	10	g^lp
1067	gum	3	19	g^m
1068	gun	3	20	g^n
1069	gunk	4	14	g^Nk
1070	gush	4	16	g^S
1071	gust	4	16	g^st
1072	gut	3	22	g^t
